DATE,TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
10/25/16,12:10,40.8239914,-73.8587502,0,0,0,0,0,0,0,0
10/25/16,12:10,40.7764533,-73.9016619,0,0,0,0,0,0,0,0
10/25/16,12:10,40.7720299,-73.8314903,0,0,0,0,0,0,0,0
10/25/16,12:10,40.8068402,-73.9274915,2,0,0,0,0,0,2,0
10/25/16,13:10,40.6923747,-73.9776426,0,0,0,0,0,0,0,0
10/25/16,13:10,40.6761985,-73.937299,0,0,0,0,0,0,0,0
10/25/16,13:10,40.6680909,-73.9928122,0,0,0,0,0,0,0,0
10/25/16,13:10,40.5721317,-74.1080873,0,0,0,0,0,0,0,0
10/25/16,13:10,40.6936367,-73.8295139,1,0,0,0,0,0,1,0
10/25/16,14:10,40.8207847,-73.8452805,0,0,0,0,0,0,0,0
10/25/16,14:10,40.7147294,-73.9420676,1,0,0,0,0,0,1,0
10/25/16,15:10,40.8189491,-73.9522014,0,0,0,0,0,0,0,0
10/25/16,15:10,40.8394404,-73.9391184,0,0,0,0,0,0,0,0
10/25/16,15:10,40.7866518,-73.8263941,0,0,0,0,0,0,0,0
10/25/16,15:10,40.6936625,-73.8521639,0,0,0,0,0,0,0,0
11/8/16,19:11,40.720096,-73.9056159,0,0,0,0,0,0,0,0
11/8/16,19:11,40.5540863,-74.1927507,0,0,0,0,0,0,0,0
10/25/16,17:10,40.7681673,-73.905433,0,0,0,0,0,0,0,0
10/25/16,18:10,40.6469906,-73.9693083,0,0,0,0,0,0,0,0
10/25/16,18:10,40.6330524,-73.9685797,0,0,0,0,0,0,0,0
10/25/16,18:10,40.8043758,-73.9374202,1,0,1,0,0,0,0,0
11/8/16,23:11,40.8300385,-73.9366228,0,0,0,0,0,0,0,0
10/25/16,19:10,40.700105,-73.9472483,0,0,0,0,0,0,0,0
10/25/16,19:10,40.7073911,-73.9505284,0,0,0,0,0,0,0,0
10/25/16,19:10,40.737942,-73.8663842,0,0,0,0,0,0,0,0
11/8/16,7:11,40.7004397,-73.8153324,0,0,0,0,0,0,0,0
12/12/16,8:15,40.819698,-73.9344739,0,0,0,0,0,0,0,0
12/11/16,0:00,40.7567642,-73.9671533,0,0,0,0,0,0,0,0
12/11/16,13:40,40.6805679,-73.8923283,0,0,0,0,0,0,0,0
11/8/16,8:11,40.7326712,-73.9814754,0,0,0,0,0,0,0,0
11/8/16,8:11,40.6162832,-74.026106,0,0,0,0,0,0,0,0
11/8/16,8:11,40.8176642,-73.9307538,0,0,0,0,0,0,0,0
12/11/16,13:40,40.538055,-74.1920137,0,0,0,0,0,0,0,0
12/11/16,13:40,40.8301183,-73.8955263,2,0,0,0,0,0,2,0
12/11/16,13:48,40.7011892,-73.8078807,0,0,0,0,0,0,0,0
12/11/16,13:50,40.7248831,-73.9990728,0,0,0,0,0,0,0,0
12/11/16,13:50,40.835103,-73.848702,1,0,0,0,0,0,1,0
12/11/16,17:50,40.7456725,-73.9780144,1,0,1,0,0,0,0,0
12/10/16,12:38,40.8138602,-73.9140702,0,0,0,0,0,0,0,0
10/25/16,21:10,40.8365578,-73.9430529,1,0,1,0,0,0,0,0
12/10/16,12:40,40.7494725,-73.7563932,0,0,0,0,0,0,0,0
12/10/16,13:00,40.6356423,-73.7401207,0,0,0,0,0,0,0,0
12/10/16,13:10,40.8399027,-73.8756121,1,0,0,0,0,0,1,0
12/10/16,18:20,40.7573816,-73.9667018,1,0,1,0,0,0,0,0
11/7/16,13:11,40.6376149,-73.9858363,0,0,0,0,0,0,0,0
11/7/16,13:11,40.6397622,-74.0355888,0,0,0,0,0,0,0,0
11/7/16,13:11,40.7878617,-73.9768991,0,0,0,0,0,0,0,0
11/7/16,13:11,40.7576939,-73.8646192,0,0,0,0,0,0,0,0
11/7/16,13:11,40.7000996,-73.7395521,0,0,0,0,0,0,0,0
10/25/16,22:10,40.6818603,-73.9225437,0,0,0,0,0,0,0,0
10/25/16,22:10,40.7546608,-73.8331043,0,0,0,0,0,0,0,0
12/10/16,8:00,40.8613663,-73.8682294,0,0,0,0,0,0,0,0
12/10/16,8:00,40.8246333,-73.9105876,2,0,0,0,0,0,2,0
10/25/16,23:10,40.8217152,-73.9064582,0,0,0,0,0,0,0,0
10/25/16,6:10,40.7454395,-73.7784234,0,0,0,0,0,0,0,0
10/25/16,8:10,40.7546902,-73.985797,0,0,0,0,0,0,0,0
10/25/16,8:10,40.7734901,-73.9249283,0,0,0,0,0,0,0,0
10/25/16,8:10,40.7405624,-73.809272,0,0,0,0,0,0,0,0
10/25/16,8:10,40.7463959,-73.7893193,0,0,0,0,0,0,0,0
10/25/16,8:10,40.7235034,-73.8057961,0,0,0,0,0,0,0,0
10/25/16,9:10,40.6339615,-74.0147538,0,0,0,0,0,0,0,0
11/7/16,15:11,40.6631059,-73.9051739,0,0,0,0,0,0,0,0
11/7/16,15:11,40.6504827,-74.0116762,0,0,0,0,0,0,0,0
11/7/16,15:11,40.6088079,-73.953191,0,0,0,0,0,0,0,0
11/7/16,15:11,40.8024892,-73.9308951,0,0,0,0,0,0,0,0
11/7/16,15:11,40.7576737,-73.9851213,0,0,0,0,0,0,0,0
10/26/16,15:10,40.7640276,-73.8094828,0,0,0,0,0,0,0,0
10/26/16,16:10,40.6062171,-73.9539239,1,0,1,0,0,0,0,0
10/26/16,20:10,40.8454299,-73.9139752,0,0,0,0,0,0,0,0
10/25/16,9:10,40.7686021,-73.769848,0,0,0,0,0,0,0,0
10/25/16,9:10,40.6182828,-74.1051867,0,0,0,0,0,0,0,0
10/24/16,20:10,40.8012913,-73.9438957,0,0,0,0,0,0,0,0
10/24/16,21:10,40.6810636,-73.8263661,0,0,0,0,0,0,0,0
10/6/16,16:10,40.5972831,-73.9074485,0,0,0,0,0,0,0,0
10/6/16,16:10,40.6830971,-73.8057517,0,0,0,0,0,0,0,0
10/24/16,12:10,40.584026,-74.0978028,1,0,0,0,0,0,1,0
10/24/16,13:10,40.82548,-73.908769,0,0,0,0,0,0,0,0
10/24/16,21:10,40.6339973,-73.9477726,1,0,0,0,1,0,0,0
10/24/16,22:10,40.7663518,-73.9510179,0,0,0,0,0,0,0,0
10/24/16,2:10,40.5532456,-74.2177725,0,0,0,0,0,0,0,0
10/24/16,9:10,40.6449141,-73.9744225,3,0,0,0,0,0,3,0
10/23/16,0:10,40.8112087,-73.9068522,0,0,0,0,0,0,0,0
10/23/16,11:10,40.7045249,-73.9283962,0,0,0,0,0,0,0,0
10/23/16,11:10,40.7096605,-74.0048261,0,0,0,0,0,0,0,0
10/23/16,11:10,40.7599125,-73.9588098,0,0,0,0,0,0,0,0
10/23/16,11:10,40.7437119,-73.8256398,0,0,0,0,0,0,0,0
11/7/16,18:11,40.7687128,-73.9699778,0,0,0,0,0,0,0,0
11/7/16,18:11,40.8492939,-73.9389684,0,0,0,0,0,0,0,0
10/23/16,12:10,40.8830204,-73.8532436,1,0,0,0,1,0,0,0
10/23/16,13:10,40.6284919,-74.0072844,0,0,0,0,0,0,0,0
10/23/16,14:10,40.6193973,-73.9695659,0,0,0,0,0,0,0,0
10/23/16,14:10,40.6417272,-73.9926457,1,0,0,0,0,0,1,0
10/23/16,14:10,40.6505297,-73.9558249,1,0,1,0,0,0,0,0
10/23/16,14:10,40.6148709,-73.9407891,1,0,0,0,0,0,1,0
10/23/16,16:10,40.8563835,-73.826302,0,0,0,0,0,0,0,0
12/9/16,10:12,40.665837,-73.9425282,0,0,0,0,0,0,0,0
12/9/16,10:12,40.8029368,-73.9695614,0,0,0,0,0,0,0,0
12/9/16,12:12,40.8194403,-73.8174568,0,0,0,0,0,0,0,0
12/9/16,15:12,40.8541032,-73.9190979,0,0,0,0,0,0,0,0
10/23/16,18:10,40.7009113,-73.9260847,2,0,0,0,0,0,2,0
10/23/16,19:10,40.7649309,-73.8866542,0,0,0,0,0,0,0,0
10/23/16,19:10,40.8296875,-73.8252953,1,0,1,0,0,0,0,0
10/23/16,19:10,40.8670887,-73.8397423,1,0,1,0,0,0,0,0
10/23/16,1:10,40.8283988,-73.9452966,0,0,0,0,0,0,0,0
12/9/16,10:30,40.6835047,-73.9115123,1,0,0,0,0,0,1,0
12/9/16,10:35,40.8094965,-73.9358079,0,0,0,0,0,0,0,0
10/23/16,3:10,40.6355144,-73.980843,0,0,0,0,0,0,0,0
10/23/16,7:10,40.8426897,-73.8931646,0,0,0,0,0,0,0,0
10/23/16,8:10,40.739936,-73.8457774,0,0,0,0,0,0,0,0
10/23/16,9:10,40.8639475,-73.8645077,1,0,0,0,0,0,1,0
12/8/16,17:12,40.8050573,-73.9390342,0,0,0,0,0,0,0,0
12/8/16,18:12,40.5736673,-73.9928691,0,0,0,0,0,0,0,0
